order_date,order_year,order_month,day_number,order_quarter,order_week,order_month_period,order_quarter_period,week_number_yearly,week_number_monthly,weekday_name,weekday_number,is_weekday,is_payday,customer_type,vendor_code,unique_order_count,total_order_items,order_total_value_DKK,order_current_value_DKK,return_rate,order_total_AOV,order_current_AOV,avg_order_items
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,New customer,DE,24,87,29223.7294,23559.2768,0.1938305861811053,1217.6553916666667,981.63653333333332,3.625
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,New customer,DK,15,44,8434.04,8239.04,0.023120592266576871,562.26933333333341,549.26933333333341,2.9333333333333331
2022-07-12,2022,7,12,3,28,2022-07,2022Q3,29,2,Tuesday,2,Weekday,Non-Payday,New customer,US,15,42,37356.858,37356.858,0,2490.4572,2490.4572,2.8
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,Existing customer,COM,2,6,2885.8264,2885.8264,0,1442.9132,1442.9132,3
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,Existing customer,DE,2,7,1187.259,1187.259,0,593.6295,593.6295,3.5
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,Existing customer,DK,1,3,331.24,331.24,0,331.24,331.24,3
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,New customer,COM,26,168,50994.5458,46297.4314,0.092110133080153811,1961.3286846153846,1780.6704384615384,6.4615384615384617
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,New customer,DE,12,41,9433.6176,9320.7478,0.011964635920794628,786.13479999999993,776.7289833333333,3.4166666666666665
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,New customer,DK,9,33,3582.2,3582.2,0,398.02222222222218,398.02222222222218,3.6666666666666665
2022-07-13,2022,7,13,3,28,2022-07,2022Q3,29,2,Wednesday,3,Weekday,Non-Payday,New customer,US,17,35,43015.202999999994,28801.772999999997,0.3304280581914259,2530.3060588235289,1694.2219411764704,2.0588235294117645
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,Existing customer,COM,3,9,3359.9093999999996,3359.9093999999996,0,1119.9697999999999,1119.9697999999999,3
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,Existing customer,DK,1,1,475.4,475.4,0,475.4,475.4,1
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,New customer,COM,37,197,66000.1866,65673.8116,0.0049450617765374617,1783.7888270270271,1774.967881081081,5.3243243243243246
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,New customer,DE,22,98,24841.7254,23851.2612,0.039870990603575331,1129.1693363636364,1084.1482363636364,4.4545454545454541
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,New customer,DK,18,56,14370.52,13891.32,0.033346044541185754,798.36222222222227,771.74,3.1111111111111112
2022-07-14,2022,7,14,3,28,2022-07,2022Q3,29,2,Thursday,4,Weekday,Non-Payday,New customer,US,13,28,31988.879999999997,24310.44,0.24003466204506063,2460.6830769230769,1870.0338461538461,2.1538461538461537
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,Existing customer,COM,7,50,10764.034,9719.6339999999982,0.097026820985515419,1537.7191428571427,1388.5191428571427,7.1428571428571432
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,Existing customer,DE,2,6,977.3346,977.3346,0,488.6673,488.6673,3
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,Existing customer,US,6,18,7900.1999999999989,7900.1999999999989,0,1316.6999999999998,1316.6999999999998,3
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,New customer,COM,30,104,45643.1148,38570.811,0.15494787835995805,1521.4371600000002,1285.6937,3.4666666666666668
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,New customer,DE,12,59,9741.3426,9493.0738,0.025486096752207425,811.77855,791.08948333333331,4.916666666666667
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,New customer,DK,8,16,8889.119999999999,8789.12,0.011249707507604598,1111.1399999999999,1098.64,2
2022-07-15,2022,7,15,3,28,2022-07,2022Q3,29,3,Friday,5,Weekday,Non-Payday,New customer,US,23,60,44036.685,42803.145,0.028011645290738869,1914.6384782608695,1861.006304347826,2.6086956521739131
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,Existing customer,COM,3,25,2756.6938,2756.6938,0,918.8979333333333,918.8979333333333,8.3333333333333339
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,Existing customer,DE,1,13,525.2586,525.2586,0,525.2586,525.2586,13
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,Existing customer,US,1,2,1233.54,1233.54,0,1233.54,1233.54,2
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,New customer,COM,27,168,47565.9298,45189.770599999996,0.049955066788161515,1761.7011037037037,1673.6952074074072,6.2222222222222223
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,New customer,DE,7,29,4518.8204,4338.5122,0.039901607950605759,645.54577142857136,619.78745714285719,4.1428571428571432
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,New customer,DK,5,18,1521.1200000000001,1281.92,0.15725255075207745,304.22400000000005,256.384,3.6
2022-07-16,2022,7,16,3,28,2022-07,2022Q3,29,3,Saturday,6,Weekend,Non-Payday,New customer,US,8,19,15481.619999999999,13125.419999999998,0.15219337511190695,1935.2024999999999,1640.6774999999998,2.375
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,Existing customer,COM,9,39,11760.615399999999,10486.522,0.10833560631529521,1306.7350444444444,1165.1691111111113,4.333333333333333
2022-07-17,2022,7,17,3,28,2022-07,2022Q3,29,3,Sunday,7,Weekend,Non-Payday,Existing customer,DK,1,2,183.48,183.48,0,183.48,183.48,2
